Date;Profile;Message;Number of Reactions;Number of Shares;Number of Comments (primary);Number of Shares;Comments per post;Comments on posts by fans;Post interaction rate;Engagement;Number of Likes;Link-posts;Picture Posts;Video-posts;Profile-ID;Post-ID;Link
5/26/23 5:39 PM;Cedar Point;"Make a SPLASH this summer at Cedar Point Shores Waterpark! 🌊

Get unlimited visits to Cedar Point and Cedar Point Shores Waterpark with the Gold Pass! Plus, you get some awesome perks like FREE parking and food & merchandise discounts. 

👉 https://bit.ly/45o713A";54.0;;3.0;11.0;3.0;3.0;4,34E+10;4,34E+10;46.0;;;1.0;10625691462;10625691462_10159567730331463;https://www.facebook.com/10625691462/posts/10159567730331463/
5/26/23 5:35 PM;Busch Gardens Tampa Bay;Entering our Summer Nights era like: 🎆🎢😎🐅☀✨ It's time to stay longer and play later with thrill rides after dark and electrifying entertainment all-day long. Plus, you can't forget about our Firework Spectacular every Friday and Saturday! Click the link now to save up to 50% on Tickets, Fun Cards, and Annual Passes so that you don't miss out on the thrills! https://bit.ly/3WD8qzk;85.0;;9.0;20.0;19.0;19.0;1,84E+12;1,84E+12;71.0;;;1.0;68181225238;68181225238_10160473753410239;https://www.facebook.com/68181225238/posts/10160473753410239/
5/26/23 5:08 PM;Disneyland;Life is the bubbles! Check out what's splashing over to Disneyland Resort. 🫧;530.0;;39.0;23.0;81.0;81.0;3,69E+11;3,69E+11;376.0;;1.0;;11081890741;11081890741_10161058900120742;https://www.facebook.com/11081890741/posts/10161058900120742/
5/26/23 5:00 PM;Waterville USA;Get ready to laugh, play, and soak up the sun at Waterville USA!;3.0;;0.0;1.0;0.0;0.0;7,03E+10;7,03E+10;3.0;;1.0;;1,38319E+11;138319355040_554294450253237;https://www.facebook.com/483859777296705/posts/554294450253237
5/26/23 4:22 PM;Walt Disney World;Check out what's splashing over to Walt Disney World 🫧;3794.0;;223.0;184.0;953.0;953.0;2,83E+11;2,83E+11;2148.0;;1.0;;1,55669E+11;155669083273_10162012598118274;https://www.facebook.com/155669083273/posts/10162012598118274/
5/26/23 4:07 PM;Six Flags Great America/Hurricane Harbor;Time to SPLASH into summer because Hurricane Harbor Chicago opens TOMORROW!😎🌊;178.0;;26.0;27.0;42.0;42.0;3,27E+11;3,27E+11;136.0;;1.0;;10583866355;10583866355_10159339752866356;https://www.facebook.com/SFGreatAmerica/photos/a.63387521355/10159339752866356/?type=3
5/26/23 4:00 PM;Cedar Point;"ALL ABOARD to the Cedar Point Online Shop! 🚂

The NEW O-gauge replica of the Myron engine and tender by Lionel can now be ordered and sent right to your door. Now that’s “coal”! 😂

👉 https://bit.ly/3q9DtGB";145.0;;23.0;10.0;34.0;34.0;1,21E+12;1,21E+12;129.0;;1.0;;10625691462;10625691462_10159567613321463;https://www.facebook.com/cedarpoint/photos/a.319129566462/10159567613321463/?type=3
5/26/23 3:36 PM;Six Flags Darien Lake;"We welcomed students back on Monday, for Music and Education days, and it is safe to say they were all EXCITED to be here. Make Six Flags Darien Lake a part of your end of year celebrations! 🎉 
🎟️ https://bit.ly/3qd8rOk
📅 https://bit.ly/42Bismi

#darienlake #groupsales #fieldtrip";57.0;;2.0;4.0;2.0;2.0;2,74E+12;2,74E+12;52.0;;1.0;;9596249636;9596249636_10160722305514637;https://www.facebook.com/Darienlake/photos/a.380147199636/10160722305514637/?type=3
5/26/23 3:13 PM;MarineLand;Marineland is one of the best places to bring the entire family.  There is something for everyone - whether you like to visit the marine mammals, the land mammals, get some thrills on a ride, or simply enjoy the beautiful park-like, breezy setting while having a picnic - you are sure to make wonderful memories that last a lifetime!;77.0;;7.0;1.0;11.0;11.0;0.0010189595163949442;0.0010189595163949442;63.0;;1.0;;1,08249E+14;108249372532899_619117296914943;https://www.facebook.com/559786962847977/posts/619117296914943
5/26/23 3:04 PM;Universal Orlando Resort (US);"Spared no expense. 

Here's your first bite of the Jurassic Park 30th Anniversary Tribute Store.";16713.0;;1622.0;4003.0;2261.0;2261.0;0.007399199313697455;0.007399199313697455;11458.0;;;1.0;90867402851;90867402851_10159823226442852;https://www.facebook.com/90867402851/posts/10159823226442852/
